"anonid" "age_bin" "genderFM" "syn_selfreport" "ConsistencyScore" "SynStatus" "r" "StructureScore" "p-value"
"36" "06d76bde-b017-4770-b965-83445bc02a9e" "(38,48]" NA "dunno" 281.952252691281 "NonSyn" -0.01229626409 "z-score" 0.5009
"37" "06da1a26-f391-4f4b-8b89-46266b25bbb0" "[18,28]" "female" "no" 142.888396017514 "NonSyn" 0.632186998707 "z-score" 0
"38" "06fe1b94-d82b-4e2b-9715-986828b5b8c8" "[18,28]" "female" "no" 100.088121195017 "Syn" 0.81941479476 "z-score" 0
"39" "072cb796-aa98-467a-b12a-aa7d536bf5bc" "(58,68]" "female" "dunno" 139.231035903419 "NonSyn" 0.192919728774 "z-score" 0.0416
"40" "0771c8da-deea-4194-b840-16d63f3426bf" "(28,38]" NA NA 159.468231319299 "NonSyn" -0.032326048095 "z-score" 0.9389
"41" "07b8cde5-5107-4bb2-934d-eb3fe89b30ef" NA NA NA 333.931611180139 "NonSyn" -0.0150952263897 "z-score" 0.5663
"42" "07d874c2-931e-4587-8bd3-d6de1a630ac4" "[18,28]" NA NA 156.306655915143 "NonSyn" 0.574932307644 "z-score" 0
"43" "080f7352-a4ed-4f17-bf22-fc9b85f2e905" "(28,38]" "female" "dunno" 281.451475463653 "NonSyn" 0.330041773517 "z-score" 1e-04
"44" "08c460b5-e4ea-46b6-9bf7-ebc72e0d1b42" "(48,58]" "male" "dunno" 196.250747169305 "NonSyn" 0.327133425544 "z-score" 0.0041
"45" "08f4f53b-20d2-424e-857b-328d0d3a08f4" "(48,58]" "female" "yes" 264.685886782066 "NonSyn" -0.0243662189255 "z-score" 0.7545
"46" "0930c89a-3142-4eb6-8210-19aab181b63a" "(28,38]" "male" "no" 168.531013891297 "NonSyn" 0.342565153881 "z-score" 0.0722
"47" "09fdc549-7d22-42f0-afce-6f245767d41f" "(28,38]" "male" "no" 107.954782594839 "Syn" 0.404135823655 "z-score" 0.0018
"48" "0a4dfa45-e360-4945-bf46-6b740f722ad5" NA NA NA 358.339808247691 "NonSyn" -0.00880089315458 "z-score" 0.7178
"49" "0a734d86-fb94-448f-95e5-775219b43898" "(48,58]" "female" "dunno" 159.365818003556 "NonSyn" 0.189837078844 "z-score" 0.0652
"50" "0ad56f5a-846b-4f84-aa3d-287b3e2eca17" NA NA NA 284.888348091557 "NonSyn" 0.192157495775 "z-score" 0.0142
"51" "0b40b649-8cd0-4252-bcad-04b607694eb9" "(48,58]" "female" "no" 36.0645525773326 "Syn" -0.0353249177914 "z-score" 0.7988
"52" "0b5a1966-8357-46f5-9b80-a23d00345639" NA NA NA 54.0221871459611 "Syn" 0.426483780198 "z-score" 0.0042
"53" "0baeefb9-4213-4b50-9e12-be7cd9723a34" "(58,68]" "female" "dunno" 133.311699669481 "Syn" 0.50288432877 "z-score" 4e-04
"54" "0bd4c742-ccb6-4acf-828a-bdd13b17a50a" NA NA NA NA NA NA "z-score" NA
"55" "0c09957c-32b6-4f60-9a51-a6d6b4c962c2" "(28,38]" "female" "dunno" 139.060514594123 "NonSyn" 0.653540047791 "z-score" 0
"56" "0c228297-b7b1-49b8-bc12-341b7824f906" "(48,58]" "female" "dunno" 251.617038499405 "NonSyn" -0.0102491532245 "z-score" 0.5257
"57" "0c6dd752-58dc-44b1-8a7d-31b5870928af" "(58,68]" "female" "dunno" 209.41990591785 "NonSyn" 0.400750290433 "z-score" 0.1359
"58" "0cddf53e-dd2e-465b-bf28-b284e60d2597" "(28,38]" "female" "yes" 134.887369789093 "Syn" 0.290649401764 "z-score" 0.0126
"59" "0d9e6fa5-cb12-430f-8fb9-9cfd4924f5ef" "(48,58]" "female" "dunno" 66.4991558815698 "Syn" 0.779489896911 "z-score" 0
"60" "0df08f40-cb66-4f05-9664-c26ccd04402d" "[18,28]" "female" "no" 225.721028798556 "NonSyn" 0.357189881652 "z-score" 7e-04
"61" "0e3c50c7-cd48-4499-947c-ee89f9f072e0" "(38,48]" "female" "dunno" 192.705835160349 "NonSyn" 0.0148356991301 "z-score" 0.3705
"62" "0e78de34-3316-4063-bf9d-5684970b255c" NA "female" NA 206.039962106757 "NonSyn" -0.0295768380409 "z-score" 0.9346
"63" "0edbb482-f88c-4896-ad35-031b5c624dd4" "[18,28]" "female" "no" 71.2598927489259 "Syn" 0.745871812919 "z-score" 0
"64" "0eee964b-a509-4b78-b8af-6d9137b209a3" "[18,28]" "female" "dunno" 189.638378599783 "NonSyn" 0.361605602442 "z-score" 2e-04
"65" "0ef2aca9-873d-490d-98b2-2ed05c7f8710" "(28,38]" "female" "dunno" 138.003438490182 "NonSyn" 0.611358823905 "z-score" 1e-04
"66" "0f281191-a73f-448f-8810-31b5576927fc" "(38,48]" "male" "no" 440.716504692233 "NonSyn" 0.0407966481136 "z-score" 0.0612
"67" "10017cb2-fe23-4de2-9728-47e642d955cd" "(58,68]" "male" "no" 99.0283376793516 "Syn" 0.715479183684 "z-score" 0
"68" "10021daa-fc12-4e8e-bd33-532e723a591b" "(48,58]" "male" "no" 210.919725870966 "NonSyn" 0.128315670303 "z-score" 0.0119
"69" "100602d1-8b1f-480f-ba94-58dff1ba717f" "(48,58]" "male" "dunno" 163.074375337277 "NonSyn" 0.145083640079 "z-score" 0.0221
"70" "1072e120-ab10-4da5-9a3e-15568859ceb2" "(48,58]" "female" "dunno" 315.62054617679 "NonSyn" 0.181545773351 "z-score" 0.0042
