"anonid" "setname" "item" "color1" "color2" "color3" "timing1" "timing2" "timing3"
"47" "0086e9c0-418c-404c-8f3c-219de93cc3dc" "set1" "16" "#4A40C8" "#99659E" "#B67D65" 2654 10837 3104
"48" "0086e9c0-418c-404c-8f3c-219de93cc3dc" "set1" "07" "#4C403B" "#C6F2D3" "#22470F" 2367 2283 1902
"49" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "12" "#7D8282" "#7F7E81" "#808080" 3071 1660 2213
"50" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "09" "#A4A758" "#827D81" "#807F7F" 6172 1160 2327
"51" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "14" "#7F7F80" "#808080" "#808080" 3704 6713 5808
"52" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "13" "#7B8384" "#808080" "#807F80" 1445 9292 763
"53" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "08" "#A38E5C" "#ED1412" "#E8173A" 2103 3018 2069
"54" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "02" "#EAF50A" "#FDF502" "#F1F807" 3007 5421 1863
"55" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "03" "#F00F36" "#EEF40B" "#FFFFFF" 4506 9746 2827
"56" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "11" "#7F7F80" "#808080" "#817E7F" 1403 2093 3784
"57" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "05" "#FFFFFF" "#FFFFFF" "#FFFFFF" 5312 2692 3104
"58" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "15" "#E1F00F" "#7F8080" "#7F807F" 6266 3156 2533
"59" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "01" "#F2F50A" "#F1F10E" "#EEF708" 2707 1910 1427
"60" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "06" "#FFFFFF" "#FFFFFF" "#FFFFFF" 2887 3837 1314
"61" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "04" "#FFFFFF" "#FFFFFF" "#FFFFFF" 2789 2194 2567
"62" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "set1" "10" "#7F8080" "#808080" "#7C8283" 4385 2417 1662
